Month,MRR,Revenue,COGS,Sales & Marketing,R&D,G&A,CAC,LTV,NRR %,GRR %,Magic Number,YoY Growth
2025-01,275000,275000,55000,80000,60000,41500,14200,126000,1.08,0.93,0.67,0.22
2025-02,284000,284000,56800,82000,60800,42000,14350,127000,1.09,0.93,0.68,0.23
2025-03,293000,293000,58600,83600,61600,42500,14500,128500,1.09,0.94,0.69,0.23
2025-04,303000,303000,60600,85200,62400,43000,14650,130000,1.10,0.94,0.70,0.24
2025-05,314000,314000,62800,86800,63200,43500,14800,131500,1.10,0.94,0.71,0.24
2025-06,325000,325000,65000,88400,64000,44000,14950,133000,1.11,0.94,0.72,0.25
2025-07,337000,337000,67400,90000,64800,44500,15100,134500,1.11,0.95,0.72,0.25
2025-08,349000,349000,69800,91600,65600,45000,15250,136000,1.12,0.95,0.73,0.26
2025-09,361000,361000,72200,93200,66400,45500,15400,137500,1.12,0.95,0.74,0.26
2025-10,374000,374000,74800,94800,67200,46000,15550,139000,1.13,0.95,0.75,0.27
2025-11,387000,387000,77400,96400,68000,46600,15700,140500,1.13,0.95,0.75,0.28
2025-12,401000,401000,80200,98000,69000,47000,15850,142000,1.14,0.96,0.76,0.28
